recipe_name,ingredients,calories,protein,fat,carbohydrates
Ferrero Rocher,"milk chocolate 30% (sugar, cocoa butter, cocoa mass, skimmed milk powder , concentrated butter , emulsifier: lecithins ( soya ), vanillin), hazelnuts (28,5%), sugar, palm oil, wheat flour , whey powder , fat-reduced cocoa, emulsifier: lecithins ( soya ), raising agent sodium bicarbonate, salt, vanillin,",603.0,8.2,42.7,44.4
Fakiat Barbeque,"Maïs.  Huile végétale, arôme barbecue, 4% (arômes • Sel, extrait de levure. Contient du blé. Gluten et ses dérivés (E621. E635).",512.0,8.0,25.0,63.6
Sticks et bretzels d'Alsace,"Farine de _blé_, extrait de malt d'_orge_, huiles végétales (tournesol, palme, colza en proportion variable), sel, levure, correcteur d'acidité : hydroxyde de sodium",391.0,10.0,4.8,73.0
Sea Salt & Balsamic Vinegar Crisps,"select potatoes, vegetable oils (rapeseed oil, sunflower oil), seasoning with sea salt and balsamic vinegar of modena (sea salt, balsamic vinegar of modena potato maltodextrin, sugar, potato starch, acid: citric acid; natural flavourings).",513.0,6.2,29.3,54.1
Excellence Noir Orange Intense,"sucre, pâte de cacao, amandes 7%, jus d'orange à base de concentré 3,9%, beurre de cacao, beurre laitier concentré, sucre inverti, jus de citron à base de concentré, émulsifiant (lécithine de soja), ananas, gélifiant (pectine), arôme naturel d'orange, Peut contenir des graines de sésame et d'autres fruits à coque,",535.0,7.0,32.0,51.0
Crousti'Son Miel 🍯🐝Sésame,"Farine complète de blé 32,1%, farine de blé 28,5%, huile de colza, sucre de canne roux, fibres de chicorée : fructooligosaccharides, miel toutes fleurs 5,2%, sésame toasté 5,2%, farine de riz, farine d'avoine, arôme naturel, farine de seigle, émulsifiant: lécithines de colza, farine de maïs, poudres à lever (tartrates de potassium, carbonates de sodium, carbonates de potassium), sel, lactosérum en poudre, sirop de malt d'orge.",439.0,8.8,16.0,59.0
pringles hot & spicy,"Pommes de terre déshydratées, huiles végétales, amidon de blé, assaisonnement piment et épices [épices, monosodique, inosinate disodique, guanylate disodique), en poudre (lait), tomate en poudre, bouillon en granules, lactose (lait), acidifiant (acide lactique), protéines en poudre, piment en poudre, ail en poudre, sel.",503.0,4.3,32.0,51.0
Seabrook sea salt,"potatoes, sunflower oil (30%), sea salt",516.0,5.9,30.4,52.6
"Kinder - Delice x10, 390g (13.8oz)","sugar, vegetable fats (palm, shea, sal), glucose-fructose syrup, humectant: glycerol, rehydrated milk powder 7%, wheat flour 6,5%, skimmed milk powder 5%, dextrose, lean cocoa 3%, cocoa 3%, egg 2,5%, lactoserum powder, concentrated pear juice, wheat starch, milk powder 0,5%, emulsifiers (lecithins [soy], mono and diglycerides of fatty acids), baking powders (ammonium carbonate, sodium acid carbonate), lemon juice concentrate, flavourings, cocoa butter, salt, cocoa paste, concentrated butter",455.0,5.5,22.6,58.8
Fourrés chocolat lait noisettes,"Farine de blé 34%, chocolat au lait 25% (sucre de canne non raffiné, beurre de cacao, lait en poudre, pâte de cacao), farine complète de blé 15%, sucre de canne roux non raffiné, huile de tournesol oléique, noisettes hachées grillées 5%, lait écrémé en poudre, sel marin non raffiné, poudres à lever : carbonates d'ammonium, carbonates de sodium, arôme naturel de noisettes, épaississant : gomme d’acacia, antioxydant : extrait de romarin",524.0,8.0,25.2,64.0
Tartines craquantes au sarrasin,"Farine de sarrasin (97,6%), sucre de canne complet (-2%), sel marin.",385.0,13.0,2.8,75.0
